Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Jaraganahalli,"1,10,924","1,10,009","85,970","59,511","58,207","35,674",99.20%,78.10%,69.20%,97.80%,"22,518",38.70%,32.20%,"₹40,62,345",6.79,₹121.30,"2,25,413",12.8992931,77.57726896
Chickpete,"1,85,488","1,83,645","1,50,079","93,173","92,089","34,980",99.00%,81.70%,62.10%,98.80%,"57,078",62.00%,18.90%,"₹58,08,054",9.79,₹167.33,"3,40,988",12.9701392,77.5775301
Gali Anjenaya Temple ward,"1,04,178","1,03,308","65,657","55,007","54,258","34,405",99.20%,63.60%,83.80%,98.60%,"19,834",36.50%,33.00%,"₹50,59,895",8.23,₹144.08,"2,88,389",,
Vannarapete,"99,365","98,763","79,376","50,576","49,797","33,723",99.40%,80.40%,63.70%,98.50%,"16,070",32.30%,33.90%,"₹40,82,537",6.51,₹117.94,"2,27,962",12.9599932,77.6176375
Kammanahalli,"1,11,511","1,10,898","87,583","55,916","55,260","33,576",99.50%,79.00%,63.80%,98.80%,"21,666",39.20%,30.10%,"₹44,12,131",6.67,₹121.53,"2,48,871",13.0148544,77.6382029
Defence Colony,"1,13,502","1,12,831","80,837","56,497","55,754","33,207",99.40%,71.60%,69.90%,98.70%,"22,522",40.40%,29.30%,"₹38,57,800",6.09,₹111.03,"2,17,101",12.976171,77.6435315
Kushal Nagar,"1,06,911","1,06,401","82,697","52,289","51,701","32,787",99.50%,77.70%,63.20%,98.90%,"18,908",36.60%,30.70%,"₹40,58,575",6.48,₹118.28,"2,27,574",13.0187848,77.6151144
Rajaji Nagar,"78,766","78,002","52,276","46,245","45,396","32,404",99.00%,67.00%,88.50%,98.20%,"12,979",28.60%,41.10%,"₹41,07,176",6.26,₹112.33,"2,35,670",12.9945793,77.55039666654265
Bommanahalli,"1,52,618","1,51,217","1,22,893","55,029","54,175","32,011",99.10%,81.30%,44.80%,98.40%,"22,152",40.90%,21.00%,"₹44,56,835",7.35,₹132.21,"2,49,748",12.9089453,77.6239038
Vijinapura,"1,25,088","1,24,310","95,925","52,300","51,728","31,626",99.40%,77.20%,54.50%,98.90%,"20,092",38.80%,25.30%,"₹45,21,821",7.46,₹134.92,"2,55,491",13.036240450000001,77.57101265390685
Srinivasa Nagar,"74,452","73,908","51,573","43,303","42,504","31,259",99.30%,69.80%,84.00%,98.20%,"11,234",26.40%,42.00%,"₹36,41,236",6.62,₹117.91,"2,07,210",12.9877574,77.5378544
Agaram,"1,40,342","1,39,281","1,13,197","52,499","51,730","31,096",99.20%,81.30%,46.40%,98.50%,"20,624",39.90%,22.20%,"₹41,44,647",7.01,₹127.39,"2,29,317",12.9417501,77.64130554414257
Gayithri Nagar,"77,922","77,120","52,814","44,397","43,591","31,052",99.00%,68.50%,84.10%,98.20%,"12,526",28.70%,39.90%,"₹37,14,235",6.33,₹114.27,"2,11,782",12.9976458,77.56232387
Vijayanagara Krishnadevaraya,"79,830","79,216","51,953","45,187","44,220","30,360",99.20%,65.60%,87.00%,97.90%,"13,851",31.30%,38.00%,"₹40,21,673",7.41,₹127.94,"2,35,209",,
Kammagondanahalli,"88,813","88,177","63,366","44,948","44,183","30,124",99.30%,71.90%,70.90%,98.30%,"14,051",31.80%,33.90%,"₹46,42,293",8.44,₹144.22,"2,74,443",13.07399225,77.51898923698187
Veerabhadranagar,"83,820","83,214","58,885","46,701","45,797","29,394",99.30%,70.80%,79.30%,98.10%,"16,390",35.80%,35.10%,"₹33,13,096",6.11,₹109.13,"1,86,855",,
Bharathi Nagar,"1,13,705","1,13,062","92,076","52,147","51,610","28,677",99.40%,81.40%,56.60%,99.00%,"22,911",44.40%,25.20%,"₹35,77,300",6.35,₹116.49,"1,97,970",12.98915825,77.61173545486893
Yelachenahalli,"92,064","91,284","68,402","48,782","47,953","28,465",99.20%,74.90%,71.30%,98.30%,"19,475",40.60%,30.90%,"₹35,43,903",6.32,₹115.22,"1,99,914",12.897971,77.5700846
Deen Dayalu Ward,"86,800","86,185","60,896","45,429","44,423","28,289",99.30%,70.70%,74.60%,97.80%,"16,127",36.30%,32.60%,"₹34,87,579",7.42,₹131.25,"1,98,272",,
Kadugondanahalli,"94,784","94,377","71,903","46,635","45,936","28,083",99.60%,76.20%,64.90%,98.50%,"17,837",38.80%,29.60%,"₹34,74,646",6.17,₹113.46,"1,93,981",13.0207029,77.6215464
Sagayarapuram,"98,658","98,158","79,329","46,502","46,108","28,010",99.50%,80.80%,58.60%,99.20%,"18,086",39.20%,28.40%,"₹32,70,499",5.85,₹108.30,"1,78,616",13.00528525,77.61636237
Chanakya,"96,377","95,232","57,457","46,149","44,733","27,699",98.80%,60.30%,80.30%,96.90%,"17,027",38.10%,28.70%,"₹38,52,559",7.52,₹136.38,"2,21,877",13.2246581,77.75702488939133
Shivanagara,"64,174","63,577","43,741","38,676","37,977","27,691",99.10%,68.80%,88.40%,98.20%,"10,269",27.00%,43.10%,"₹33,83,414",6.63,₹117.86,"1,93,984",12.9879221,77.5467906
Mahalakshimpuram,"65,516","64,850","44,936","39,445","38,745","27,477",99.00%,69.30%,87.80%,98.20%,"11,250",29.00%,41.90%,"₹33,70,934",6.53,₹116.34,"1,93,461",,
